Device: Vivobook_ASUSLaptop K6602HE_K6602HE  

Input Data:
Product 1: Weight = 5, Cost = 78
Product 86: Weight = 48, Cost = 23
Product 87: Weight = 77, Cost = 55
Product 88: Weight = 71, Cost = 5
Product 89: Weight = 32, Cost = 28
Product 90: Weight = 75, Cost = 21
Product 91: Weight = 3, Cost = 71
Product 92: Weight = 48, Cost = 17
Product 93: Weight = 12, Cost = 36
Product 94: Weight = 66, Cost = 22
Product 95: Weight = 37, Cost = 53
Product 96: Weight = 9, Cost = 7
Product 97: Weight = 64, Cost = 22
Product 98: Weight = 79, Cost = 7
Product 99: Weight = 57, Cost = 67
Product 100: Weight = 68, Cost = 6
Product 101: Weight = 28, Cost = 72
Product 102: Weight = 1, Cost = 12
Product 103: Weight = 54, Cost = 72
Product 104: Weight = 60, Cost = 52
Product 105: Weight = 48, Cost = 2
Product 106: Weight = 60, Cost = 11
Product 107: Weight = 25, Cost = 17
Product 108: Weight = 62, Cost = 41
Product 109: Weight = 3, Cost = 35
Product 110: Weight = 23, Cost = 14
Product 111: Weight = 50, Cost = 45
Product 112: Weight = 75, Cost = 17
Product 113: Weight = 32, Cost = 45
Product 114: Weight = 13, Cost = 53
Product 115: Weight = 52, Cost = 32
Product 116: Weight = 55, Cost = 14
Product 117: Weight = 3, Cost = 69
Product 118: Weight = 12, Cost = 51
Product 119: Weight = 72, Cost = 65
Product 120: Weight = 13, Cost = 19
Product 121: Weight = 1, Cost = 68
Product 122: Weight = 57, Cost = 45
Product 123: Weight = 10, Cost = 60
Product 124: Weight = 72, Cost = 74
Product 125: Weight = 14, Cost = 41
Product 126: Weight = 58, Cost = 46
Product 127: Weight = 42, Cost = 64
Product 128: Weight = 11, Cost = 31
Product 129: Weight = 4, Cost = 4
Product 130: Weight = 42, Cost = 53
Product 131: Weight = 28, Cost = 66
Product 132: Weight = 75, Cost = 3
Product 133: Weight = 51, Cost = 60
Product 134: Weight = 41, Cost = 20
Product 135: Weight = 73, Cost = 57
Product 136: Weight = 64, Cost = 58
Product 137: Weight = 27, Cost = 74
Product 138: Weight = 26, Cost = 35
Product 139: Weight = 61, Cost = 48
Product 140: Weight = 56, Cost = 29
Product 141: Weight = 3, Cost = 12
Product 142: Weight = 51, Cost = 60
Product 143: Weight = 71, Cost = 55
Product 144: Weight = 35, Cost = 25
Product 145: Weight = 70, Cost = 35
Product 146: Weight = 32, Cost = 29
Product 147: Weight = 59, Cost = 33
Product 148: Weight = 55, Cost = 62
Product 149: Weight = 33, Cost = 5
Product 150: Weight = 32, Cost = 73
Product 151: Weight = 51, Cost = 7
Product 152: Weight = 30, Cost = 33
Product 153: Weight = 54, Cost = 44
Product 154: Weight = 70, Cost = 22
Product 155: Weight = 58, Cost = 20
Product 156: Weight = 52, Cost = 74
Product 157: Weight = 60, Cost = 69
Product 158: Weight = 58, Cost = 32
Product 159: Weight = 48, Cost = 8
Product 160: Weight = 74, Cost = 70
Product 161: Weight = 13, Cost = 50
Product 162: Weight = 5, Cost = 5
Product 163: Weight = 57, Cost = 22
Product 164: Weight = 69, Cost = 54
Product 165: Weight = 55, Cost = 40
Product 166: Weight = 73, Cost = 23
Product 167: Weight = 77, Cost = 5
Product 168: Weight = 47, Cost = 62
Product 169: Weight = 11, Cost = 66
Product 170: Weight = 23, Cost = 62
Product 171: Weight = 57, Cost = 2
Product 172: Weight = 4, Cost = 24
Product 173: Weight = 49, Cost = 76
Product 174: Weight = 22, Cost = 3
Product 175: Weight = 29, Cost = 28
Product 176: Weight = 7, Cost = 31
Product 177: Weight = 66, Cost = 57
Product 178: Weight = 35, Cost = 38
Product 179: Weight = 61, Cost = 7
Product 180: Weight = 75, Cost = 68
Product 181: Weight = 12, Cost = 30
Product 182: Weight = 27, Cost = 9
Product 183: Weight = 48, Cost = 26
Product 184: Weight = 58, Cost = 76
Product 185: Weight = 33, Cost = 68
Product 186: Weight = 35, Cost = 18
Product 187: Weight = 35, Cost = 17
Product 188: Weight = 18, Cost = 79
Product 189: Weight = 72, Cost = 58
Product 190: Weight = 64, Cost = 77
Product 191: Weight = 71, Cost = 28
Product 192: Weight = 51, Cost = 59
Product 193: Weight = 43, Cost = 80
Product 194: Weight = 80, Cost = 39
Product 195: Weight = 47, Cost = 30
Product 196: Weight = 34, Cost = 47
Product 197: Weight = 24, Cost = 13
Product 198: Weight = 15, Cost = 37
Product 199: Weight = 51, Cost = 14
Product 200: Weight = 41, Cost = 33
Product 201: Weight = 33, Cost = 74
Product 202: Weight = 51, Cost = 43
Product 203: Weight = 47, Cost = 9
Product 204: Weight = 4, Cost = 25
Product 205: Weight = 75, Cost = 21
Product 206: Weight = 1, Cost = 21
Product 207: Weight = 5, Cost = 78
Product 208: Weight = 54, Cost = 35
Product 209: Weight = 66, Cost = 63
Product 210: Weight = 20, Cost = 1
Product 211: Weight = 71, Cost = 49
Product 212: Weight = 50, Cost = 32
Product 213: Weight = 36, Cost = 47
Product 214: Weight = 13, Cost = 51
Product 215: Weight = 62, Cost = 41
Product 216: Weight = 2, Cost = 22
Product 217: Weight = 49, Cost = 13
Product 218: Weight = 46, Cost = 16
Product 219: Weight = 70, Cost = 66
Product 220: Weight = 20, Cost = 75
Product 221: Weight = 34, Cost = 23
Product 222: Weight = 78, Cost = 20
Product 223: Weight = 63, Cost = 76
Product 224: Weight = 39, Cost = 30
Product 225: Weight = 79, Cost = 31
Product 226: Weight = 25, Cost = 44
Product 227: Weight = 62, Cost = 42
Product 228: Weight = 3, Cost = 79
Product 229: Weight = 39, Cost = 26
Product 230: Weight = 29, Cost = 28
Product 231: Weight = 9, Cost = 3
Product 232: Weight = 30, Cost = 18
Product 233: Weight = 44, Cost = 51
Product 234: Weight = 62, Cost = 10
Product 235: Weight = 47, Cost = 37
Product 236: Weight = 8, Cost = 48
Product 237: Weight = 35, Cost = 70
Product 238: Weight = 66, Cost = 49
Product 239: Weight = 62, Cost = 13
Product 240: Weight = 32, Cost = 53
Product 241: Weight = 25, Cost = 70
Product 242: Weight = 21, Cost = 47
Product 243: Weight = 74, Cost = 80
Product 244: Weight = 12, Cost = 35
Product 245: Weight = 57, Cost = 8
Product 246: Weight = 71, Cost = 40
Product 247: Weight = 45, Cost = 5
Product 248: Weight = 69, Cost = 61
Product 249: Weight = 23, Cost = 69
Product 250: Weight = 25, Cost = 33
Product 251: Weight = 50, Cost = 40
Product 252: Weight = 41, Cost = 13
Product 253: Weight = 56, Cost = 44
Product 254: Weight = 20, Cost = 37
Product 255: Weight = 9, Cost = 56
Product 256: Weight = 7, Cost = 32
Product 257: Weight = 72, Cost = 30
Product 258: Weight = 2, Cost = 51
Product 259: Weight = 54, Cost = 58
Product 260: Weight = 54, Cost = 4
Product 261: Weight = 19, Cost = 80
Product 262: Weight = 18, Cost = 30
Product 263: Weight = 33, Cost = 53
Product 264: Weight = 79, Cost = 33
Product 265: Weight = 60, Cost = 28
Product 266: Weight = 40, Cost = 44
Product 267: Weight = 7, Cost = 20
Product 268: Weight = 78, Cost = 13
Product 269: Weight = 9, Cost = 80
Product 270: Weight = 11, Cost = 39
Product 271: Weight = 56, Cost = 55
Product 272: Weight = 38, Cost = 54
Product 273: Weight = 52, Cost = 29
Product 274: Weight = 22, Cost = 63
Product 275: Weight = 39, Cost = 66
Product 276: Weight = 42, Cost = 76
Product 277: Weight = 28, Cost = 25
Product 278: Weight = 55, Cost = 38
Product 279: Weight = 46, Cost = 28
Product 280: Weight = 36, Cost = 51
Product 281: Weight = 66, Cost = 14
Product 282: Weight = 19, Cost = 19
Product 283: Weight = 7, Cost = 65
Product 284: Weight = 1, Cost = 54
Product 285: Weight = 12, Cost = 57
Product 286: Weight = 64, Cost = 16
Product 287: Weight = 35, Cost = 1
Product 288: Weight = 50, Cost = 63
Product 289: Weight = 6, Cost = 61
Product 290: Weight = 58, Cost = 60
Product 291: Weight = 39, Cost = 63
Product 292: Weight = 45, Cost = 64
Product 293: Weight = 60, Cost = 13
Product 294: Weight = 47, Cost = 58
Product 295: Weight = 10, Cost = 19
Product 296: Weight = 27, Cost = 14
Product 297: Weight = 65, Cost = 69
Product 298: Weight = 50, Cost = 79
Product 299: Weight = 25, Cost = 56
Product 300: Weight = 8, Cost = 80
Product 301: Weight = 43, Cost = 33
Product 302: Weight = 43, Cost = 40
Product 303: Weight = 19, Cost = 62
Product 304: Weight = 22, Cost = 68
Product 305: Weight = 53, Cost = 68
Product 306: Weight = 21, Cost = 18
Product 307: Weight = 29, Cost = 57
Product 308: Weight = 10, Cost = 43
Product 309: Weight = 59, Cost = 51
Product 310: Weight = 47, Cost = 15
Product 311: Weight = 79, Cost = 80
Product 312: Weight = 13, Cost = 40
Product 313: Weight = 2, Cost = 71
Product 314: Weight = 29, Cost = 24
Product 315: Weight = 5, Cost = 15
Product 316: Weight = 44, Cost = 4
Product 317: Weight = 61, Cost = 15
Product 318: Weight = 36, Cost = 54
Product 319: Weight = 31, Cost = 54
Product 320: Weight = 25, Cost = 13
Product 321: Weight = 41, Cost = 44
Product 322: Weight = 33, Cost = 24
Product 323: Weight = 66, Cost = 72
Product 324: Weight = 8, Cost = 35
Product 325: Weight = 2, Cost = 19
Product 326: Weight = 50, Cost = 32
Product 327: Weight = 21, Cost = 45
Product 328: Weight = 2, Cost = 25
Product 329: Weight = 11, Cost = 78
Product 330: Weight = 59, Cost = 53
Product 331: Weight = 4, Cost = 32
Product 332: Weight = 5, Cost = 26
Product 333: Weight = 11, Cost = 43
Product 334: Weight = 51, Cost = 3
Product 335: Weight = 48, Cost = 49
Product 336: Weight = 50, Cost = 49
Product 337: Weight = 74, Cost = 28
Product 338: Weight = 36, Cost = 38
Product 339: Weight = 61, Cost = 52
Product 340: Weight = 14, Cost = 16
Product 341: Weight = 8, Cost = 37
Product 342: Weight = 63, Cost = 35
Product 343: Weight = 34, Cost = 16
Product 344: Weight = 2, Cost = 42
Product 345: Weight = 39, Cost = 49
Product 346: Weight = 69, Cost = 47
Product 347: Weight = 13, Cost = 65
Product 348: Weight = 27, Cost = 73
Product 349: Weight = 60, Cost = 13
Product 350: Weight = 79, Cost = 70
Product 351: Weight = 45, Cost = 23
Product 352: Weight = 42, Cost = 41
Product 353: Weight = 33, Cost = 43
Product 354: Weight = 39, Cost = 37
Product 355: Weight = 22, Cost = 21
Product 356: Weight = 21, Cost = 43
Product 357: Weight = 54, Cost = 33
Product 358: Weight = 77, Cost = 80
Product 359: Weight = 80, Cost = 35
Product 360: Weight = 53, Cost = 3
Product 361: Weight = 75, Cost = 56
Product 362: Weight = 3, Cost = 62
Product 363: Weight = 8, Cost = 76
Product 364: Weight = 70, Cost = 10
Product 365: Weight = 8, Cost = 29
Product 366: Weight = 1, Cost = 56
Product 367: Weight = 78, Cost = 16
Product 368: Weight = 57, Cost = 29
Product 369: Weight = 22, Cost = 35
Product 370: Weight = 66, Cost = 45
Product 371: Weight = 69, Cost = 67
Product 372: Weight = 5, Cost = 60
Product 373: Weight = 3, Cost = 47
Product 374: Weight = 69, Cost = 64
Product 375: Weight = 23, Cost = 44
Product 376: Weight = 34, Cost = 43
Product 377: Weight = 1, Cost = 11
Product 378: Weight = 61, Cost = 9
Product 379: Weight = 46, Cost = 8
Product 380: Weight = 77, Cost = 4
Product 381: Weight = 55, Cost = 51
Product 382: Weight = 17, Cost = 80
Product 383: Weight = 59, Cost = 68
Product 384: Weight = 23, Cost = 4
Product 385: Weight = 15, Cost = 59
Product 386: Weight = 45, Cost = 69
Product 387: Weight = 67, Cost = 6
Product 388: Weight = 22, Cost = 26
Product 389: Weight = 23, Cost = 39
Product 390: Weight = 47, Cost = 43
Product 391: Weight = 61, Cost = 69
Product 392: Weight = 66, Cost = 59
Product 393: Weight = 80, Cost = 18
Product 394: Weight = 59, Cost = 56
Product 395: Weight = 22, Cost = 12
Product 396: Weight = 9, Cost = 80
Product 397: Weight = 66, Cost = 40
Product 398: Weight = 39, Cost = 23
Product 399: Weight = 45, Cost = 76
Product 400: Weight = 60, Cost = 38
Product 401: Weight = 38, Cost = 11
Product 402: Weight = 64, Cost = 22
Product 403: Weight = 7, Cost = 23
Product 404: Weight = 16, Cost = 45
Product 405: Weight = 26, Cost = 34
Product 406: Weight = 67, Cost = 40
Product 407: Weight = 76, Cost = 69
Product 408: Weight = 29, Cost = 42
Product 409: Weight = 49, Cost = 53
Product 410: Weight = 52, Cost = 36
Product 411: Weight = 72, Cost = 50
Product 412: Weight = 50, Cost = 22
Product 413: Weight = 64, Cost = 66
Product 414: Weight = 75, Cost = 4
Product 415: Weight = 59, Cost = 46
Product 416: Weight = 79, Cost = 76
Product 417: Weight = 18, Cost = 75
Product 418: Weight = 50, Cost = 23
Product 419: Weight = 25, Cost = 44
Product 420: Weight = 42, Cost = 31
Product 421: Weight = 37, Cost = 54
Product 422: Weight = 72, Cost = 48
Product 423: Weight = 59, Cost = 68
Product 424: Weight = 43, Cost = 65
Product 425: Weight = 11, Cost = 44
Product 426: Weight = 2, Cost = 37
Product 427: Weight = 60, Cost = 33
Product 428: Weight = 64, Cost = 13
Product 429: Weight = 57, Cost = 42
Product 430: Weight = 20, Cost = 48
Product 431: Weight = 61, Cost = 19
Product 432: Weight = 58, Cost = 78
Product 433: Weight = 44, Cost = 35
Product 434: Weight = 60, Cost = 1
Product 435: Weight = 66, Cost = 14
Product 436: Weight = 13, Cost = 70
Product 437: Weight = 63, Cost = 28
Product 438: Weight = 72, Cost = 58
Product 439: Weight = 35, Cost = 10
Product 440: Weight = 68, Cost = 24
Product 441: Weight = 54, Cost = 79
Product 442: Weight = 43, Cost = 18
Product 443: Weight = 75, Cost = 33
Product 444: Weight = 43, Cost = 46
Product 445: Weight = 6, Cost = 73
Product 446: Weight = 76, Cost = 35
Product 447: Weight = 44, Cost = 52
Product 448: Weight = 67, Cost = 19
Product 449: Weight = 74, Cost = 27
Product 450: Weight = 54, Cost = 44
Product 451: Weight = 9, Cost = 38
Product 452: Weight = 1, Cost = 42
Product 453: Weight = 16, Cost = 61
Product 454: Weight = 73, Cost = 15
Product 455: Weight = 27, Cost = 31
Product 456: Weight = 47, Cost = 70
Product 457: Weight = 58, Cost = 70
Product 458: Weight = 56, Cost = 36
Product 459: Weight = 29, Cost = 10
Product 460: Weight = 10, Cost = 80
Product 461: Weight = 46, Cost = 21
Product 462: Weight = 25, Cost = 20
Product 463: Weight = 63, Cost = 71
Product 464: Weight = 19, Cost = 20
Product 465: Weight = 6, Cost = 76
Product 466: Weight = 40, Cost = 79
Product 467: Weight = 6, Cost = 43
Product 468: Weight = 78, Cost = 20
Product 469: Weight = 65, Cost = 63
Product 470: Weight = 52, Cost = 55
Product 471: Weight = 11, Cost = 59
Product 472: Weight = 22, Cost = 51
Product 473: Weight = 48, Cost = 57
Product 474: Weight = 48, Cost = 18
Product 475: Weight = 40, Cost = 36
Product 476: Weight = 70, Cost = 59
Product 477: Weight = 42, Cost = 40
Product 478: Weight = 36, Cost = 76
Product 479: Weight = 46, Cost = 38
Product 480: Weight = 1, Cost = 41
Product 481: Weight = 8, Cost = 76
Product 482: Weight = 58, Cost = 51
Product 483: Weight = 34, Cost = 36
Product 484: Weight = 44, Cost = 43
Product 485: Weight = 9, Cost = 76
Product 486: Weight = 17, Cost = 41
Product 487: Weight = 75, Cost = 54
Product 488: Weight = 63, Cost = 25
Product 489: Weight = 79, Cost = 17
Product 490: Weight = 61, Cost = 37
Product 491: Weight = 38, Cost = 55
Product 492: Weight = 7, Cost = 9
Product 493: Weight = 16, Cost = 72
Product 494: Weight = 36, Cost = 18
Product 495: Weight = 66, Cost = 8
Product 496: Weight = 55, Cost = 8
Product 497: Weight = 39, Cost = 52
Product 498: Weight = 3, Cost = 63
Product 499: Weight = 68, Cost = 75
Product 500: Weight = 2, Cost = 24
Max Weight: 5000

Algorithm: Transform and Conquer
Maximum cost: 11627
Run time: 0.000000 seconds
==============================================

Algorithm: Space & Time Trade-Offs
Maximum cost: 11626
Run time: 0.007000 seconds
==============================================
